[2017-07-26 22:04:20,970.057][INFO ] main,68> Software Svn Version: 1453
[2017-07-26 22:25:43,040.646][WARN ] OcdcMarketPoller::QueryMarketInfoImpl,67> failed, err code=1028(CURLE_OPERATION_TIMEDOUT)
[2017-07-26 22:26:58,749.084][WARN ] BtdcMarketPoller::QueryMarketInfoImpl,73> failed, err code=1052(CURLE_GOT_NOTHING)
[2017-07-26 22:27:39,003.929][WARN ] BtdcMarketPoller::QueryMarketInfoImpl,73> failed, err code=1052(CURLE_GOT_NOTHING)
[2017-07-26 22:27:40,618.621][WARN ] BtdcMarketPoller::QueryMarketInfoImpl,73> failed, err code=1052(CURLE_GOT_NOTHING)
[2017-07-26 22:27:40,970.641][WARN ] BtdcMarketPoller::QueryMarketInfoImpl,73> failed, err code=1052(CURLE_GOT_NOTHING)
[2017-07-26 22:27:41,323.057][WARN ] BtdcMarketPoller::QueryMarketInfoImpl,73> failed, err code=1052(CURLE_GOT_NOTHING)
[2017-07-26 22:28:56,449.617][WARN ] BtdcMarketPoller::QueryMarketInfoImpl,73> failed, err code=1052(CURLE_GOT_NOTHING)
[2017-07-26 22:28:56,806.435][WARN ] BtdcMarketPoller::QueryMarketInfoImpl,73> failed, err code=1052(CURLE_GOT_NOTHING)
[2017-07-26 22:28:57,153.455][WARN ] BtdcMarketPoller::QueryMarketInfoImpl,73> failed, err code=1052(CURLE_GOT_NOTHING)
[2017-07-26 22:28:57,489.474][WARN ] BtdcMarketPoller::QueryMarketInfoImpl,73> failed, err code=1052(CURLE_GOT_NOTHING)
[2017-07-26 22:28:57,847.494][WARN ] BtdcMarketPoller::QueryMarketInfoImpl,73> failed, err code=1052(CURLE_GOT_NOTHING)
[2017-07-26 22:28:58,185.514][WARN ] BtdcMarketPoller::QueryMarketInfoImpl,73> failed, err code=1052(CURLE_GOT_NOTHING)
[2017-07-26 22:28:58,567.535][WARN ] BtdcMarketPoller::QueryMarketInfoImpl,73> failed, err code=1052(CURLE_GOT_NOTHING)
[2017-07-26 22:28:58,927.556][WARN ] BtdcMarketPoller::QueryMarketInfoImpl,73> failed, err code=1052(CURLE_GOT_NOTHING)
[2017-07-26 22:29:01,146.679][WARN ] BtdcMarketPoller::QueryMarketInfoImpl,73> failed, err code=1028(CURLE_OPERATION_TIMEDOUT)
[2017-07-26 22:30:15,012.166][WARN ] BtdcMarketPoller::QueryMarketInfoImpl,73> failed, err code=1052(CURLE_GOT_NOTHING)
[2017-07-26 22:30:15,346.185][WARN ] BtdcMarketPoller::QueryMarketInfoImpl,73> failed, err code=1052(CURLE_GOT_NOTHING)
[2017-07-26 22:30:15,706.206][WARN ] BtdcMarketPoller::QueryMarketInfoImpl,73> failed, err code=1052(CURLE_GOT_NOTHING)
[2017-07-26 22:32:12,451.340][WARN ] BtdcMarketPoller::QueryMarketInfoImpl,73> failed, err code=1052(CURLE_GOT_NOTHING)
[2017-07-26 22:32:51,095.873][WARN ] BtdcMarketPoller::QueryMarketInfoImpl,73> failed, err code=1052(CURLE_GOT_NOTHING)
[2017-07-26 22:32:51,465.894][WARN ] BtdcMarketPoller::QueryMarketInfoImpl,73> failed, err code=1052(CURLE_GOT_NOTHING)
[2017-07-26 22:32:51,805.913][WARN ] BtdcMarketPoller::QueryMarketInfoImpl,73> failed, err code=1052(CURLE_GOT_NOTHING)
[2017-07-26 22:32:52,168.934][WARN ] BtdcMarketPoller::QueryMarketInfoImpl,73> failed, err code=1052(CURLE_GOT_NOTHING)
[2017-07-26 22:32:52,619.960][WARN ] BtdcMarketPoller::QueryMarketInfoImpl,73> failed, err code=1052(CURLE_GOT_NOTHING)
[2017-07-26 22:32:52,957.979][WARN ] BtdcMarketPoller::QueryMarketInfoImpl,73> failed, err code=1052(CURLE_GOT_NOTHING)
[2017-07-26 22:34:59,881.889][WARN ] BtdcMarketPoller::QueryMarketInfoImpl,73> failed, err code=1052(CURLE_GOT_NOTHING)
[2017-07-26 22:35:00,257.911][WARN ] BtdcMarketPoller::QueryMarketInfoImpl,73> failed, err code=1052(CURLE_GOT_NOTHING)
[2017-07-26 22:35:00,646.933][WARN ] BtdcMarketPoller::QueryMarketInfoImpl,73> failed, err code=1052(CURLE_GOT_NOTHING)
[2017-07-26 22:35:01,006.954][WARN ] BtdcMarketPoller::QueryMarketInfoImpl,73> failed, err code=1052(CURLE_GOT_NOTHING)
[2017-07-26 22:35:01,344.973][WARN ] BtdcMarketPoller::QueryMarketInfoImpl,73> failed, err code=1052(CURLE_GOT_NOTHING)
[2017-07-26 22:36:31,419.231][WARN ] BtdcMarketPoller::QueryMarketInfoImpl,73> failed, err code=1052(CURLE_GOT_NOTHING)
[2017-07-26 22:36:31,794.252][WARN ] BtdcMarketPoller::QueryMarketInfoImpl,73> failed, err code=1052(CURLE_GOT_NOTHING)
